student_id,Section,Case Assignment 1 (1579),Case Assignment 2 (1843),Case Assignment 3 (2014),Pre-lecture problems for Lecture 2 (1631),Pre-lecture problems for Lecture 3 (1683),Pre-lecture problems for Lecture 4 (1731),Pre-lecture problems for Lecture 5 (1779),Pre-lecture Problems for Lecture 6 (1811),Pre-lecture Problems for Lecture 7 (1877),Pre-lecture Problems for Lecture 9 (1942),Pre-lecture Problems for Lecture 10 (1990),Pre-lecture Problems for Lecture 11 (2025),Homework 1 (1776),Homework 2 (1928),Homework 3 (2103),Final project proposal (2125),Final project (2126),Final Exam (2231)
149,107-2 作業研究 Operations Research,69,71,100,10,10,7,10,10,4,10,6,9,98,83,85,,87.94,82
150,107-2 作業研究 Operations Research,84,82,87,9,10,7,10,10,9,10,9,10,97,93,97,,95,81
151,107-2 作業研究 Operations Research,69,86,100,10,9,8,10,10,5,3,9,10,92,78,98,,97.9,75
152,107-2 作業研究 Operations Research,,,,,,,,,,,,,,,,,,
153,107-2 作業研究 Operations Research,69,94,99,10,9,8,10,10,0,10,8,8,96,75,92,,90.69,72
154,107-2 作業研究 Operations Research,71,86,83,10,8,10,10,10,9,10,9,10,97,0,96,,97.9,96
155,107-2 作業研究 Operations Research,72,86,90,10,10,9,10,10,,10,6,8,68,42,83,,96.5,53
156,107-2 作業研究 Operations Research,69,,,10,10,0,,,,,,,,,,,,
157,107-2 作業研究 Operations Research,72,90,97,10,10,9,10,10,10,10,9,10,100,92,100,,94.61,78
158,107-2 作業研究 Operations Research,69,94,99,10,10,9,10,10,10,4,8,,98,75,75,,90.69,80
159,107-2 作業研究 Operations Research,87,86,92,10,10,8,10,10,7,10,7,10,88,68,85,,90.8,52
160,107-2 作業研究 Operations Research,87,84,78,9,10,8,10,10,6,9,8,6,96,85,89,,90.8,78
161,107-2 作業研究 Operations Research,69,86,100,10,9,9,,10,9,10,,,97,73,73,,97.3,67
162,107-2 作業研究 Operations Research,54,84,100,5,10,7,10,10,,10,9,10,95,84,96,,95,89
163,107-2 作業研究 Operations Research,87,84,78,2,10,9,8,10,9,9,8,10,87,75,82,,90.3,66
164,107-2 作業研究 Operations Research,,,,,,,,,,,,,,,,,,
165,107-2 作業研究 Operations Research,,,,,,,,,,,,,,,,,,
166,107-2 作業研究 Operations Research,69,86,100,10,9,8,10,10,,10,8,8,100,78,93,,94.76,70
167,107-2 作業研究 Operations Research,87,,,10,10,,,,,,,,,,,,,
168,107-2 作業研究 Operations Research,72,90,97,9,10,10,10,10,10,10,9,9,98,95,89,,94.61,75
169,107-2 作業研究 Operations Research,117,95,100,10,8,10,10,10,8,8,9,10,98,96,85,,98.5,82
170,107-2 作業研究 Operations Research,,,,,,,,,,,,,,,,,,
